PANG (degrees),Ideal Angle
359.6484375,0.0
15.1171875,15.465234375
30.849609375,30.933984375
46.40625,46.402734375
62.05078125,61.871484375
77.431640625,77.34023437500001
92.900390625,92.80898437500001
108.28125,108.27773437500001
123.662109375,123.74648437500001
138.955078125,139.215234375
154.3359375,154.683984375
169.716796875,170.152734375
185.09765625,185.621484375
200.478515625,201.090234375
215.859375,216.558984375
230.9765625,232.027734375
246.4453125,247.496484375
261.73828125,262.965234375
277.03125,278.433984375
292.5,293.902734375
308.14453125,309.371484375
323.61328125,324.840234375
339.345703125,340.308984375
355.166015625,355.777734375
10.810546875,11.246484375
26.54296875,26.715234375
42.275390625,42.183984375
57.744140625,57.652734375
73.212890625,73.12148437500001
88.681640625,88.59023437500001
104.0625,104.05898437500001
119.443359375,119.52773437500001
134.736328125,134.996484375
150.1171875,150.465234375
165.498046875,165.933984375
180.87890625,181.402734375
196.259765625,196.871484375
211.640625,212.340234375
226.93359375,227.808984375
242.2265625,243.277734375
257.51953125,258.746484375
272.8125,274.215234375
288.28125,289.683984375
303.837890625,305.152734375
319.39453125,320.621484375
335.0390625,336.090234375
350.859375,351.558984375
6.50390625,7.0277343750000005
22.236328125,22.496484375
37.96875,37.965234375
53.525390625,53.433984375
69.08203125,68.90273437500001
84.55078125,84.37148437500001
99.84375,99.84023437500001
115.3125,115.30898437500001
130.60546875,130.777734375
145.8984375,146.246484375
161.279296875,161.715234375
176.748046875,177.183984375
192.041015625,192.652734375
207.421875,208.121484375
222.71484375,223.590234375
238.0078125,239.058984375
253.30078125,254.527734375
268.681640625,269.996484375
284.0625,285.465234375
299.53125,300.933984375
315.17578125,316.402734375
330.732421875,331.871484375
346.552734375,347.340234375
2.197265625,2.808984375
18.017578125,18.277734375
33.662109375,33.746484375
49.21875,49.215234375
64.86328125,64.68398437500001
80.33203125,80.15273437500001
95.625,95.62148437500001
111.09375,111.09023437500001
126.474609375,126.55898437500001
141.6796875,142.027734375
157.1484375,157.496484375
172.529296875,172.965234375
187.822265625,188.433984375
203.203125,203.902734375
218.583984375,219.371484375
233.7890625,234.840234375
249.169921875,250.308984375
264.55078125,265.777734375
279.84375,281.246484375
295.3125,296.715234375
310.95703125,312.183984375
326.513671875,327.652734375
342.158203125,343.121484375
357.978515625,358.590234375
13.7109375,14.058984375
29.35546875,29.527734375
45.0,44.996484375
60.64453125,60.465234375
76.11328125,75.93398437500001
91.494140625,91.40273437500001
106.875,106.87148437500001
122.255859375,122.34023437500001
137.548828125,137.808984375
152.9296875,153.277734375
168.310546875,168.746484375
183.69140625,184.215234375
199.072265625,199.683984375
214.453125,215.152734375
229.658203125,230.621484375
244.951171875,246.090234375
260.33203125,261.558984375
275.625,277.027734375
291.09375,292.496484375
306.650390625,307.965234375
322.20703125,323.433984375
337.939453125,338.902734375
353.671875,354.371484375
9.404296875,9.840234375
25.13671875,25.308984375
40.78125,40.777734375
56.337890625,56.246484375
71.89453125,71.71523437500001
87.275390625,87.18398437500001
102.65625,102.65273437500001
118.037109375,118.12148437500001
133.41796875,133.590234375
148.7109375,149.058984375
164.091796875,164.527734375
179.47265625,179.996484375
194.853515625,195.465234375
210.234375,210.933984375
225.52734375,226.402734375
240.8203125,241.871484375
256.201171875,257.340234375
271.40625,272.808984375
286.962890625,288.277734375
302.431640625,303.746484375
317.98828125,319.215234375
333.6328125,334.683984375
349.365234375,350.152734375
5.09765625,5.6214843750000005
20.91796875,21.090234375
36.5625,36.558984375
52.03125,52.027734375
67.67578125,67.49648437500001
83.14453125,82.96523437500001
98.4375,98.43398437500001
113.818359375,113.90273437500001
129.287109375,129.371484375
144.4921875,144.840234375
159.873046875,160.308984375
175.341796875,175.777734375
190.634765625,191.246484375
206.015625,206.715234375
221.396484375,222.183984375
236.6015625,237.652734375
251.89453125,253.121484375
267.36328125,268.590234375
282.65625,284.058984375
298.212890625,299.527734375
313.681640625,314.996484375
329.326171875,330.465234375
345.05859375,345.933984375
0.791015625,1.402734375
16.5234375,16.871484375
32.255859375,32.340234375
47.8125,47.808984375
63.369140625,63.277734375
78.92578125,78.74648437500001
94.306640625,94.21523437500001
109.6875,109.68398437500001
125.068359375,125.15273437500001
140.361328125,140.621484375
155.7421875,156.090234375
171.123046875,171.558984375
186.416015625,187.027734375
201.884765625,202.496484375
217.177734375,217.965234375
232.3828125,233.433984375
247.763671875,248.902734375
263.14453125,264.371484375
278.4375,279.840234375
293.90625,295.308984375
309.462890625,310.777734375
325.01953125,326.246484375
340.751953125,341.715234375
356.484375,357.183984375
12.216796875,12.652734375
27.94921875,28.121484375
43.59375,43.590234375
59.150390625,59.058984375
74.70703125,74.52773437500001
90.087890625,89.99648437500001
105.46875,105.46523437500001
120.849609375,120.93398437500001
136.23046875,136.402734375
151.5234375,151.871484375
166.904296875,167.340234375
182.28515625,182.808984375
197.666015625,198.277734375
212.958984375,213.746484375
228.251953125,229.215234375
243.6328125,244.683984375
258.92578125,260.152734375
274.21875,275.621484375
289.6875,291.090234375
305.244140625,306.558984375
320.80078125,322.027734375
336.533203125,337.496484375
352.265625,352.965234375
7.91015625,8.433984375
23.73046875,23.902734375
39.375,39.371484375
54.931640625,54.840234375
70.400390625,70.30898437500001
85.95703125,85.77773437500001
101.25,101.24648437500001
116.630859375,116.71523437500001
132.01171875,132.183984375
147.3046875,147.652734375
162.685546875,163.121484375
178.06640625,178.590234375
193.447265625,194.058984375
208.828125,209.527734375
224.12109375,224.996484375
239.4140625,240.465234375
254.794921875,255.933984375
270.087890625,271.402734375
285.46875,286.871484375
301.025390625,302.340234375
316.58203125,317.808984375
332.2265625,333.277734375
347.958984375,348.746484375
3.69140625,4.2152343750000005
19.423828125,19.683984375
35.15625,35.152734375
50.625,50.621484375
66.26953125,66.09023437500001
81.73828125,81.55898437500001
97.03125,97.02773437500001
112.5,112.49648437500001
127.880859375,127.96523437500001
143.0859375,143.433984375
158.5546875,158.902734375
173.935546875,174.371484375
189.228515625,189.840234375
204.609375,205.308984375
219.90234375,220.777734375
235.1953125,236.246484375
250.48828125,251.715234375
265.95703125,267.183984375
281.25,282.652734375
296.71875,298.121484375
312.275390625,313.590234375
327.919921875,329.058984375
343.65234375,344.527734375
